"algorithm","localsearch","alpha","beta","rho","ants","q0","rasrank","elitistants","nnls","dlb","Elite"
1,1,1.9,0.29,0.22,38,NA,NA,NA,NA,NA,FALSE
3,4,2.84,5.49,0.96,20,0.54,NA,NA,21,2,FALSE
4,4,0.49,9.57,0.95,11,NA,NA,670,26,2,FALSE
3,4,0.4,4.77,0.75,12,0.35,NA,NA,29,1,FALSE
2,4,0.33,8.3,0.93,26,NA,12,NA,26,1,FALSE
1,4,1.09,6.12,0.29,74,NA,NA,NA,19,2,FALSE
4,1,2.86,1.1,0.5,25,NA,NA,417,NA,NA,FALSE
2,4,0.7,5.7,0.4,53,NA,85,NA,11,1,FALSE
1,1,4.36,5.45,0.4,63,NA,NA,NA,NA,NA,FALSE
3,2,1.43,7.03,0.59,44,0.97,NA,NA,15,1,FALSE
5,4,1.47,2.91,0.56,95,NA,NA,NA,38,1,FALSE
4,4,1.6,6.06,0.53,41,NA,NA,534,11,1,FALSE
5,2,1.87,8.9,0.09,48,NA,NA,NA,16,2,FALSE
1,4,3.28,6.51,0.42,44,NA,NA,NA,34,1,FALSE
2,4,0.25,6.76,0.33,64,NA,85,NA,46,1,FALSE
4,2,2.85,4.12,0.58,52,NA,NA,673,15,1,FALSE
2,2,2.32,4.97,0.43,99,NA,61,NA,50,2,FALSE
3,3,0.33,5.79,0.46,50,0.59,NA,NA,19,1,FALSE
1,3,0.27,9.59,0.3,59,NA,NA,NA,34,2,FALSE
4,1,3.21,8.44,0.13,49,NA,NA,654,NA,NA,FALSE
3,2,2,5.79,0.34,39,0.88,NA,NA,6,1,FALSE
2,4,3.66,3.36,0.35,59,NA,44,NA,26,2,FALSE
5,4,1.66,9.1,0.2,40,NA,NA,NA,21,2,FALSE
3,1,3.8,2.4,0.1,61,0.64,NA,NA,NA,NA,FALSE
1,1,3.01,4.43,0.76,13,NA,NA,NA,NA,NA,FALSE
5,4,1.94,5.43,0.89,50,NA,NA,NA,22,1,FALSE
1,4,0.48,6.98,0.16,67,NA,NA,NA,38,1,FALSE
3,2,1.2,4.29,0.85,20,0.36,NA,NA,18,1,FALSE
5,4,0.88,5.73,0.27,58,NA,NA,NA,27,1,FALSE
3,4,1.09,4.02,0.3,48,0.12,NA,NA,6,2,FALSE
3,3,3.97,0.42,0.53,25,0.37,NA,NA,26,1,FALSE
2,4,1.74,7.85,0.48,55,NA,49,NA,11,1,FALSE
2,3,0.09,1.71,0.12,11,NA,83,NA,12,1,FALSE
3,1,3.32,6.74,0.06,63,0.81,NA,NA,NA,NA,FALSE
5,2,1.72,8.78,0.49,65,NA,NA,NA,45,2,FALSE
5,3,4.75,1.58,0.24,53,NA,NA,NA,11,2,FALSE
5,3,1.69,4.49,0.76,6,NA,NA,NA,19,1,FALSE
4,2,1.51,1.75,0.14,73,NA,NA,524,7,1,FALSE
1,3,2.11,4.61,0.35,16,NA,NA,NA,16,2,FALSE
3,1,1.41,4.12,0.85,42,0.86,NA,NA,NA,NA,FALSE
3,4,2.04,6.42,0.46,51,1,NA,NA,15,1,TRUE
3,4,2.63,1.49,0.19,34,0.38,NA,NA,19,1,TRUE
3,4,3.59,4.93,0.23,26,0.64,NA,NA,18,1,TRUE
3,4,3.61,4.62,0.18,57,0.39,NA,NA,28,2,TRUE
3,4,3.11,9.76,0.45,21,0.69,NA,NA,10,2,FALSE
1,4,2.37,6.58,0.52,59,NA,NA,NA,28,2,FALSE
3,1,0.43,5.9,0.72,34,0.95,NA,NA,NA,NA,FALSE
3,2,1.21,4.97,0.1,46,0.92,NA,NA,21,1,FALSE
5,3,3.37,0.39,0.55,47,NA,NA,NA,7,2,FALSE
3,1,4.54,0.88,0.35,52,0.58,NA,NA,NA,NA,FALSE
3,4,2.79,4.55,0.31,60,0.56,NA,NA,13,2,FALSE
3,1,1.96,8.7,0.74,55,1,NA,NA,NA,NA,FALSE
4,3,1.77,3.68,0.64,29,NA,NA,361,20,1,FALSE
1,3,4.45,3.6,0.19,37,NA,NA,NA,36,1,FALSE
3,4,2.56,5.84,0.44,51,0.87,NA,NA,8,1,FALSE
2,4,1.4,5.72,0.24,30,NA,57,NA,9,1,FALSE
3,4,2.41,2.3,0.34,49,0.11,NA,NA,20,1,TRUE
3,2,4.33,8.1,0.46,47,0.45,NA,NA,16,2,FALSE
1,4,4.61,1.85,0.09,37,NA,NA,NA,16,2,FALSE
3,4,2.65,3.88,0.69,23,0.89,NA,NA,30,1,FALSE
2,2,2.07,0.14,0.24,50,NA,48,NA,17,2,FALSE
1,4,2.07,5.74,0.26,20,NA,NA,NA,5,1,FALSE
1,4,2.17,0.51,0.48,47,NA,NA,NA,25,1,FALSE
3,4,3.31,2.9,0.23,42,0.38,NA,NA,5,1,FALSE
3,2,4.57,5.96,0.67,56,0.98,NA,NA,16,1,FALSE
3,3,2.19,9.59,0.43,49,0.45,NA,NA,26,1,FALSE
3,4,0.97,5.06,0.56,46,0.81,NA,NA,19,1,FALSE
3,4,1.04,0.01,0.17,32,0.77,NA,NA,17,1,FALSE
3,4,3.21,1.37,0.16,18,0.62,NA,NA,17,1,FALSE
3,4,2.11,2.85,0.24,25,0.2,NA,NA,17,1,TRUE
3,3,3.15,4.34,0.34,20,0.85,NA,NA,20,1,FALSE
1,3,2.67,5.9,0.25,69,NA,NA,NA,35,1,FALSE
2,4,2.57,7.13,0.66,39,NA,89,NA,11,2,FALSE
2,4,3.91,2.68,0.09,45,NA,24,NA,38,1,FALSE
3,4,3.62,4.57,0.14,12,0.43,NA,NA,30,2,FALSE
3,4,2.95,9.05,0.46,66,0.85,NA,NA,22,1,FALSE
3,4,1.34,6.92,0.61,71,0.93,NA,NA,11,2,FALSE
1,4,2.97,3.27,0.51,37,NA,NA,NA,8,1,FALSE
4,2,2.98,3.22,0.44,48,NA,NA,419,21,1,FALSE
4,4,2.07,4.82,0.54,67,NA,NA,205,29,1,FALSE
3,4,3.8,3.85,0.21,37,0.12,NA,NA,39,2,FALSE
3,4,3.06,2.4,0.02,25,0.55,NA,NA,10,2,TRUE
3,1,4.32,2.44,0.14,68,0.83,NA,NA,NA,NA,FALSE
1,4,2.18,5.13,0.5,46,NA,NA,NA,8,1,FALSE
3,4,2.7,8.65,0.29,46,0.46,NA,NA,33,1,FALSE
3,4,0.52,5.28,0.69,42,0.8,NA,NA,13,2,FALSE
3,1,1.07,6.39,0.17,46,0.67,NA,NA,NA,NA,FALSE
1,1,1.58,0.03,0.03,52,NA,NA,NA,NA,NA,FALSE
1,4,4.26,1.28,0.12,62,NA,NA,NA,17,1,FALSE
3,4,2.79,5.99,0.26,20,0.44,NA,NA,41,2,FALSE
3,1,2.16,6.21,0.72,49,0.49,NA,NA,NA,NA,FALSE
3,4,1.84,1.23,0.02,11,0.25,NA,NA,29,1,FALSE
3,4,4.18,8.31,0.21,60,0.71,NA,NA,17,2,FALSE
3,4,0.45,1.68,0.32,35,0.34,NA,NA,13,1,FALSE
3,4,2.8,3.92,0.1,34,0.82,NA,NA,23,1,FALSE
3,4,3.87,1.05,0.23,21,0.57,NA,NA,24,1,TRUE
3,3,3.22,8.95,0.49,61,0.71,NA,NA,11,1,FALSE
5,4,3.29,1.75,0.16,41,NA,NA,NA,13,1,FALSE
3,4,2.38,4.34,0.39,55,0.15,NA,NA,20,2,FALSE
3,4,0.21,8.24,0.38,48,0.68,NA,NA,11,1,FALSE
3,1,2.79,7.8,0.52,45,0.55,NA,NA,NA,NA,FALSE
2,2,2.63,6.86,0.47,48,NA,11,NA,5,2,FALSE
3,2,3.06,3.58,0.74,52,0.89,NA,NA,11,1,FALSE
3,4,0.8,7.04,0.2,79,0.9,NA,NA,14,1,FALSE
3,4,3.02,5.8,0.62,56,0.76,NA,NA,16,1,FALSE
3,4,1.57,4.24,0.52,62,0.94,NA,NA,14,2,FALSE
3,1,1.97,5.4,0.06,41,0.87,NA,NA,NA,NA,FALSE
3,4,2.13,6.77,0.62,34,0.61,NA,NA,20,1,FALSE
3,2,3.87,4.04,0.31,50,0.61,NA,NA,10,2,FALSE
3,4,2.23,4.31,0.28,28,0.64,NA,NA,26,2,FALSE
1,4,1.53,9.23,0.22,69,NA,NA,NA,33,1,FALSE
3,4,4.55,2.84,0.68,52,0.13,NA,NA,40,2,FALSE
3,4,2.87,4.89,0.1,49,0.52,NA,NA,32,2,FALSE
3,2,1.99,7.58,0.48,28,0.95,NA,NA,21,1,FALSE
3,4,3.63,6.46,0.02,22,0.74,NA,NA,19,1,FALSE
3,4,3.4,8,0.68,41,0.94,NA,NA,29,1,FALSE
4,4,2.51,3.32,0.16,66,NA,NA,665,28,2,FALSE
3,2,3.28,1.59,0.16,37,0.28,NA,NA,13,1,FALSE
3,1,4.96,3.35,0.04,25,0.31,NA,NA,NA,NA,FALSE
3,3,0.92,4.41,0.28,55,0.5,NA,NA,38,1,FALSE
3,4,3.64,4.35,0.24,53,0.33,NA,NA,24,2,FALSE
3,4,2.11,2.85,0.24,25,0.2,NA,NA,17,1,TRUE
3,4,2.04,6.42,0.46,51,1,NA,NA,15,1,TRUE
3,4,3.87,1.05,0.23,21,0.57,NA,NA,24,1,TRUE
3,4,3.06,2.4,0.02,25,0.55,NA,NA,10,2,TRUE
3,4,2.41,2.3,0.34,49,0.11,NA,NA,20,1,TRUE
3,4,4.32,1.97,0.13,35,0.79,NA,NA,28,1,FALSE
3,1,1.19,1.33,0.51,23,0.12,NA,NA,NA,NA,FALSE
1,4,2.73,7.53,0.77,80,NA,NA,NA,10,1,FALSE
3,4,0.82,2.04,0.01,38,0.25,NA,NA,17,1,FALSE
3,1,2.1,2.61,0.08,32,0.47,NA,NA,NA,NA,FALSE
3,4,4.41,3.85,0.41,34,0.52,NA,NA,25,1,FALSE
5,4,3.23,1.85,0.29,26,NA,NA,NA,18,1,FALSE
3,4,1.49,3.72,0.21,16,0.12,NA,NA,20,1,FALSE
3,4,4.19,2.75,0.56,15,0.26,NA,NA,15,1,FALSE
3,4,4.23,1.74,0.27,22,0.12,NA,NA,11,1,FALSE
3,4,2.82,2.51,0.15,29,0.71,NA,NA,17,2,FALSE
3,4,1.69,7.27,0.42,58,0.98,NA,NA,24,1,FALSE
3,1,3.27,2.17,0.19,32,0.74,NA,NA,NA,NA,FALSE
3,4,2.58,0.96,0.33,47,0.03,NA,NA,33,1,FALSE
3,4,2.5,4.37,0.06,20,0.16,NA,NA,17,1,FALSE
3,4,2.69,6.41,0.17,42,0.81,NA,NA,17,1,TRUE
3,4,1.9,3.85,0.33,47,0.94,NA,NA,23,1,FALSE
3,4,2.4,8.54,0.67,35,0.93,NA,NA,21,1,FALSE
3,4,1.21,2.01,0.33,25,0.26,NA,NA,7,1,FALSE
3,4,2.46,5.25,0.48,44,0.99,NA,NA,23,1,FALSE
3,4,3.87,1.21,0.36,21,0.85,NA,NA,21,1,FALSE
3,4,2.25,6.04,0.55,27,0.86,NA,NA,20,1,FALSE
3,4,0.08,6.11,0.17,6,0.2,NA,NA,8,2,FALSE
3,4,3.14,0.44,0.15,27,0.43,NA,NA,26,1,FALSE
3,4,2.92,4.93,0.3,36,0.39,NA,NA,21,1,FALSE
3,3,2.1,6.51,0.41,31,0.98,NA,NA,16,1,FALSE
1,4,2.17,5.07,0.29,54,NA,NA,NA,19,1,FALSE
3,4,1.46,6.69,0.79,54,0.86,NA,NA,22,1,FALSE
3,4,1.6,0.95,0.4,13,0.16,NA,NA,22,1,FALSE
3,4,2.67,6.8,0.4,66,0.87,NA,NA,24,1,FALSE
3,4,1.87,4.13,0.68,55,0.77,NA,NA,11,1,TRUE
3,4,2.09,3.48,0.15,7,0.23,NA,NA,21,1,FALSE
2,4,2.16,0.31,0.14,20,NA,27,NA,14,1,FALSE
3,4,1.56,4.46,0.11,12,0.17,NA,NA,14,1,FALSE
3,4,2.65,6.73,0.77,63,0.92,NA,NA,10,1,FALSE
3,4,3.39,1.34,0.49,52,0.07,NA,NA,23,1,FALSE
3,4,3.75,0.42,0.17,9,0.52,NA,NA,21,1,FALSE
3,4,1.32,5.7,0.36,56,0.9,NA,NA,19,1,FALSE
1,2,4.69,0.06,0.27,14,NA,NA,NA,12,1,FALSE
3,4,1.57,5.39,0.65,44,0.65,NA,NA,24,1,FALSE
3,4,1.04,4.39,0.16,11,0.32,NA,NA,15,1,FALSE
3,4,2.72,7.18,0.34,31,0.95,NA,NA,27,1,FALSE
3,4,0.77,2.57,0.61,11,0.34,NA,NA,12,1,FALSE
3,4,2.33,4.73,0.11,46,0.83,NA,NA,5,2,FALSE
3,4,3.07,3.53,0.45,43,0.08,NA,NA,23,1,FALSE
3,4,1.99,5.01,0.49,50,0.77,NA,NA,13,2,FALSE
3,4,3.89,5.37,0.63,67,0.96,NA,NA,21,1,FALSE
3,4,2.49,8.14,0.3,41,0.99,NA,NA,18,1,FALSE
3,4,3.46,0.48,0.46,37,0.41,NA,NA,20,1,FALSE
3,4,2.87,3.73,0.43,43,0.16,NA,NA,13,1,FALSE
5,4,4.63,3.86,0.27,52,NA,NA,NA,30,1,FALSE
3,4,4.52,0.19,0.32,43,0.44,NA,NA,29,1,FALSE
3,4,0.78,5.84,0.5,45,0.99,NA,NA,15,1,FALSE
2,4,2.96,7.17,0.53,29,NA,48,NA,14,2,FALSE
5,4,3.86,3.1,0.21,23,NA,NA,NA,22,1,FALSE
3,4,3.08,7.04,0.33,51,0.79,NA,NA,13,1,FALSE
3,4,1.59,7.7,0.71,56,0.86,NA,NA,11,1,FALSE
3,4,3.46,7.35,0.53,64,0.92,NA,NA,8,1,TRUE
3,4,3.08,2.44,0.7,39,0.93,NA,NA,24,1,FALSE
3,4,2.14,7.44,0.48,36,0.98,NA,NA,5,1,FALSE
3,4,2.92,3.06,0.29,31,0.13,NA,NA,11,1,FALSE
3,4,3.03,2.91,0.55,37,0.3,NA,NA,19,1,FALSE
3,4,2.55,5.99,0.17,47,0.98,NA,NA,26,2,FALSE
3,4,0.96,1.19,0.16,32,0.26,NA,NA,18,1,FALSE
3,4,1.82,3.15,0.37,31,0.15,NA,NA,11,1,TRUE
2,4,1.87,6.77,0.61,18,NA,74,NA,28,1,FALSE
3,4,3.24,2.36,0.32,27,0.49,NA,NA,25,1,FALSE
3,2,3.84,3.11,0.34,37,0.5,NA,NA,23,1,FALSE
3,4,3.41,2.83,0.19,26,0.31,NA,NA,8,1,FALSE
3,4,2.24,4.38,0.79,50,0.76,NA,NA,8,1,FALSE
3,4,3.89,2.65,0.41,28,0.53,NA,NA,29,1,FALSE
3,4,3.49,2.44,0.09,29,0.19,NA,NA,16,1,FALSE
4,4,2.36,2.67,0.36,22,NA,NA,535,24,1,FALSE
3,2,1.93,4.55,0.23,37,0.55,NA,NA,7,2,FALSE
1,4,4.57,2.89,0.3,30,NA,NA,NA,9,2,FALSE
3,4,1.98,7.38,0.55,40,0.92,NA,NA,8,1,FALSE
3,4,2.44,1.49,0.02,21,0.21,NA,NA,12,1,FALSE
3,4,3.12,0.85,0.15,8,0.52,NA,NA,8,2,FALSE
3,4,2.91,5.55,0.13,27,0.17,NA,NA,18,1,FALSE
3,4,1.22,6.79,0.3,65,0.98,NA,NA,13,1,FALSE
3,4,2.69,6.41,0.17,42,0.81,NA,NA,17,1,TRUE
3,4,2.11,2.85,0.24,25,0.2,NA,NA,17,1,TRUE
3,4,1.87,4.13,0.68,55,0.77,NA,NA,11,1,TRUE
3,4,3.46,7.35,0.53,64,0.92,NA,NA,8,1,TRUE
3,4,1.82,3.15,0.37,31,0.15,NA,NA,11,1,TRUE
3,4,1.18,6.22,0.57,43,0.77,NA,NA,9,1,FALSE
3,4,2.87,2.63,0.66,62,0.93,NA,NA,7,1,FALSE
3,4,2.84,5.63,0.2,52,0.92,NA,NA,20,1,FALSE
3,4,1.61,4.98,0.65,43,1,NA,NA,14,1,FALSE
3,4,1.32,3.66,0.71,43,0.75,NA,NA,16,1,TRUE
3,4,1.66,3.63,0.35,22,0.12,NA,NA,15,1,FALSE
3,4,3.21,6.22,0.13,51,0.66,NA,NA,15,1,FALSE
3,4,2.04,4.39,0.75,60,0.74,NA,NA,9,1,FALSE
3,4,2.55,2.06,0.21,20,0.28,NA,NA,8,1,FALSE
3,4,2.63,6.07,0.29,39,0.85,NA,NA,21,1,FALSE
3,4,3.65,8.57,0.6,75,0.9,NA,NA,13,1,FALSE
1,4,2.06,4.56,0.61,59,NA,NA,NA,8,1,FALSE
3,4,1.88,4.81,0.68,56,0.86,NA,NA,14,1,FALSE
3,4,2.39,7.42,0.3,46,0.7,NA,NA,19,1,FALSE
3,4,1.17,5.09,0.63,59,0.72,NA,NA,6,1,FALSE
3,4,2.9,7.28,0.18,45,0.88,NA,NA,13,1,FALSE
3,4,2.82,6.57,0.51,70,0.98,NA,NA,12,1,FALSE
3,4,2.15,4.74,0.07,35,0.87,NA,NA,17,1,TRUE
3,4,3.22,4.86,0.78,54,0.91,NA,NA,9,1,FALSE
3,4,2.24,5.46,0.06,47,0.87,NA,NA,17,1,FALSE
3,4,2.99,7.4,0.33,45,0.82,NA,NA,25,1,FALSE
3,4,3.6,6.24,0.63,45,0.81,NA,NA,11,1,FALSE
5,4,1.18,4.16,0.69,42,NA,NA,NA,18,1,FALSE
3,4,2.08,4.38,0.69,65,0.83,NA,NA,11,1,FALSE
3,4,2.54,9.13,0.53,67,0.88,NA,NA,6,1,FALSE
3,4,1.61,4.55,0.6,57,0.92,NA,NA,6,1,FALSE
3,4,1.33,3.97,0.7,65,0.72,NA,NA,8,1,FALSE
3,4,2.45,5.61,0.27,40,0.84,NA,NA,11,1,FALSE
3,4,1,2.46,0.31,16,0.03,NA,NA,13,1,FALSE
3,4,2.25,4.25,0.18,30,0.26,NA,NA,14,1,FALSE
3,4,1.11,2.38,0.39,45,0.08,NA,NA,16,1,FALSE
3,4,2.77,4.11,0.3,38,0.09,NA,NA,16,1,FALSE
3,4,2.24,5.66,0.76,57,0.73,NA,NA,20,1,FALSE
3,4,2.7,8.6,0.4,73,0.93,NA,NA,7,1,FALSE
3,4,2.41,4.31,0.64,56,0.74,NA,NA,11,1,FALSE
3,4,1.82,1.91,0.69,72,0.6,NA,NA,13,1,FALSE
3,4,2.59,6.27,0.16,48,0.84,NA,NA,16,1,FALSE
5,4,4.23,6.32,0.48,60,NA,NA,NA,10,1,FALSE
3,4,2.47,6.8,0.17,52,0.59,NA,NA,18,1,FALSE
3,4,1.79,2.75,0.21,33,0.24,NA,NA,7,1,FALSE
3,4,3.3,5.47,0.23,49,0.92,NA,NA,13,1,FALSE
3,4,2.64,8.02,0.03,48,0.77,NA,NA,17,1,FALSE
3,4,1.71,2.17,0.34,34,0.03,NA,NA,12,1,FALSE
3,4,2.7,6.78,0.24,31,0.69,NA,NA,21,1,FALSE
3,4,2.17,2.93,0.15,18,0.19,NA,NA,9,1,FALSE
3,4,0.85,1.94,0.68,51,0.75,NA,NA,5,1,FALSE
3,4,2.38,6.48,0.05,39,0.91,NA,NA,14,1,FALSE
3,4,2.79,6.05,0.14,37,0.74,NA,NA,15,1,FALSE
3,4,2.41,4.66,0.22,36,0.11,NA,NA,29,1,FALSE
3,4,2.85,3.08,0.64,47,0.77,NA,NA,12,1,FALSE
3,4,3.12,1.82,0.09,24,0.37,NA,NA,16,1,FALSE
3,4,2.44,3.86,0.22,38,0.01,NA,NA,18,1,TRUE
3,4,2.5,1.21,0.32,31,0.09,NA,NA,16,1,FALSE
3,4,1.83,3.06,0.27,14,0.17,NA,NA,14,1,FALSE
3,4,2.04,7.3,0.65,41,0.67,NA,NA,5,1,FALSE
3,4,2.3,2.87,0.19,19,0.19,NA,NA,11,1,FALSE
3,4,3.61,7.16,0.43,60,0.89,NA,NA,15,1,FALSE
3,4,1.54,3.25,0.96,62,0.76,NA,NA,12,1,FALSE
3,4,2.93,5.43,0.21,37,0.73,NA,NA,22,1,FALSE
3,4,3.22,6.09,0.21,48,0.91,NA,NA,14,1,FALSE
3,4,3.27,7.49,0.65,62,0.79,NA,NA,7,1,FALSE
3,1,3.38,3.5,0.34,17,0.19,NA,NA,NA,NA,FALSE
3,4,0.75,2.94,0.54,59,0.72,NA,NA,13,1,FALSE
3,4,0.92,5.48,0.9,43,0.57,NA,NA,19,1,FALSE
3,4,1.85,4.82,0.88,40,0.97,NA,NA,5,1,FALSE
3,4,1.28,6.33,0.62,65,0.82,NA,NA,14,1,FALSE
3,4,2.27,3.35,0.76,37,0.71,NA,NA,7,1,FALSE
3,4,2.61,6.73,0.2,36,0.74,NA,NA,8,1,FALSE
3,4,2.35,2.22,0.24,26,0.28,NA,NA,14,1,FALSE
4,4,1.96,3.08,0.48,32,NA,NA,29,25,1,FALSE
3,4,2.05,3.55,0.6,47,0.79,NA,NA,7,1,FALSE
3,4,1.75,2.82,0.21,24,0.14,NA,NA,15,1,FALSE
3,4,2.77,5.99,0.59,61,0.89,NA,NA,5,1,FALSE
3,4,2.15,4.74,0.07,35,0.87,NA,NA,17,1,TRUE
3,4,1.87,4.13,0.68,55,0.77,NA,NA,11,1,TRUE
3,4,2.44,3.86,0.22,38,0.01,NA,NA,18,1,TRUE
3,4,1.32,3.66,0.71,43,0.75,NA,NA,16,1,TRUE
3,4,1.82,3.15,0.37,31,0.15,NA,NA,11,1,TRUE
3,4,2.38,4.92,0.06,34,0.95,NA,NA,19,1,FALSE
3,4,1.26,2.75,0.7,40,0.92,NA,NA,12,1,FALSE
3,4,2.05,3.81,0.66,37,0.77,NA,NA,14,1,FALSE
3,4,1.75,3.05,0.07,39,0.99,NA,NA,16,1,FALSE
3,4,1.31,4.21,0.66,50,0.65,NA,NA,17,1,FALSE
3,4,2.32,2.96,0.3,38,0.04,NA,NA,24,1,FALSE
3,4,1.46,2.93,0.84,48,0.71,NA,NA,12,1,TRUE
3,4,0.9,4.44,0.65,51,0.68,NA,NA,10,1,FALSE
3,4,1.89,4.22,0.31,51,0.05,NA,NA,21,1,FALSE
3,4,1.99,5.07,0.74,73,0.62,NA,NA,13,1,FALSE
3,4,1.31,3.67,0.42,35,0.13,NA,NA,12,1,FALSE
3,4,1.53,3.67,0.55,52,0.74,NA,NA,9,1,TRUE
3,4,2.87,5.17,0.02,19,0.8,NA,NA,21,1,FALSE
3,4,2.52,3.82,0.34,31,0.22,NA,NA,12,1,FALSE
3,4,2.09,4.14,0.14,35,0.01,NA,NA,14,1,FALSE
3,4,1.88,3.61,0.11,40,0.87,NA,NA,11,1,FALSE
3,4,3.03,3.44,0.24,25,0,NA,NA,26,1,FALSE
3,4,1.46,2.93,0.84,48,0.71,NA,NA,12,1,TRUE
3,4,2.15,4.74,0.07,35,0.87,NA,NA,17,1,TRUE
3,4,1.87,4.13,0.68,55,0.77,NA,NA,11,1,TRUE
3,4,1.32,3.66,0.71,43,0.75,NA,NA,16,1,TRUE
3,4,1.53,3.67,0.55,52,0.74,NA,NA,9,1,TRUE
3,4,1.65,4.37,0.65,57,0.75,NA,NA,10,1,TRUE
3,4,2.14,4.99,0.02,38,0.93,NA,NA,21,1,FALSE
3,4,1.55,3.56,0.77,50,0.86,NA,NA,13,1,FALSE
3,4,1.61,2.66,0.96,43,0.7,NA,NA,14,1,FALSE
3,4,1.83,3.57,0.76,64,0.86,NA,NA,15,1,TRUE
3,4,1.83,3.57,0.76,64,0.86,NA,NA,15,1,TRUE
3,4,1.65,4.37,0.65,57,0.75,NA,NA,10,1,TRUE
3,4,1.46,2.93,0.84,48,0.71,NA,NA,12,1,TRUE
3,4,2.15,4.74,0.07,35,0.87,NA,NA,17,1,TRUE
3,4,1.87,4.13,0.68,55,0.77,NA,NA,11,1,TRUE
3,4,1.73,2.09,0.81,57,0.96,NA,NA,15,1,FALSE
3,4,1.71,3.87,0.9,44,0.75,NA,NA,11,1,TRUE
3,2,1.86,0.79,0.7,69,0.36,NA,NA,14,2,FALSE
4,1,4.36,5.79,0.2,21,NA,NA,276,NA,NA,FALSE
2,3,3.11,8.29,0.94,93,NA,99,NA,26,2,FALSE
1,4,0.61,3.29,0.45,45,NA,NA,NA,49,1,FALSE
5,2,3.73,7.04,0.08,33,NA,NA,NA,20,2,FALSE
3,1,1.23,2.04,0.57,81,0.98,NA,NA,NA,NA,FALSE
1,3,2.48,4.54,0.32,9,NA,NA,NA,8,2,FALSE
4,4,4.98,9.54,0.82,57,NA,NA,182,31,1,FALSE
5,4,1.54,7.67,0.51,15,NA,NA,NA,6,1,TRUE
3,3,4.04,2.67,0.02,63,0.54,NA,NA,29,2,FALSE
1,1,2.79,0.17,0.76,39,NA,NA,NA,NA,NA,FALSE
2,2,0.29,5.17,0.26,87,NA,68,NA,40,2,FALSE
2,4,3.42,3.92,0.14,99,NA,30,NA,23,1,TRUE
5,3,0.92,8.92,0.63,51,NA,NA,NA,46,2,FALSE
4,1,2.17,6.42,0.39,75,NA,NA,323,NA,NA,FALSE
1,2,4.67,1.42,0.88,27,NA,NA,NA,34,2,FALSE
4,2,2.64,3.6,0.6,48,NA,NA,206,39,1,FALSE
1,1,0.14,8.6,0.11,96,NA,NA,NA,NA,NA,FALSE
2,3,1.39,6.1,0.85,24,NA,77,NA,50,1,FALSE
5,4,3.89,1.1,0.36,72,NA,NA,NA,27,2,TRUE
4,3,3.26,2.35,0.48,84,NA,NA,112,33,1,FALSE
3,4,0.76,7.35,0.97,36,0.83,NA,NA,10,2,FALSE
2,1,4.51,4.85,0.73,12,NA,15,NA,NA,NA,FALSE
1,2,2.01,9.85,0.23,60,NA,NA,NA,44,1,FALSE
5,3,4.83,6.73,0.54,66,NA,NA,NA,24,1,FALSE
2,4,2.33,1.73,0.05,18,NA,46,NA,47,2,FALSE
4,2,1.08,4.23,0.79,90,NA,NA,346,13,1,FALSE
3,1,3.58,9.23,0.29,42,0.01,NA,NA,NA,NA,FALSE
2,3,0.45,0.48,0.17,30,NA,83,NA,7,1,FALSE
1,4,2.95,5.48,0.67,78,NA,NA,NA,30,2,FALSE
3,2,4.2,7.98,0.42,6,0.64,NA,NA,19,1,FALSE
5,1,1.7,2.98,0.91,54,NA,NA,NA,NA,NA,FALSE
2,3,1.62,9.38,0.62,98,NA,57,NA,19,2,FALSE
1,4,4.12,4.38,0.12,50,NA,NA,NA,42,1,FALSE
5,1,0.37,6.88,0.37,26,NA,NA,NA,NA,NA,FALSE
3,2,2.87,1.88,0.87,74,0.12,NA,NA,8,2,FALSE
1,3,3.5,3.13,0.25,14,NA,NA,NA,14,2,FALSE
4,4,1,8.13,0.74,62,NA,NA,545,37,1,FALSE
2,1,4.75,0.63,0.99,86,NA,44,NA,NA,NA,FALSE
5,2,2.25,5.63,0.5,38,NA,NA,NA,25,2,FALSE
1,2,0.69,0.01,0.56,20,NA,NA,NA,28,2,FALSE
4,1,3.19,5.01,0.06,68,NA,NA,686,NA,NA,FALSE
3,4,1.94,2.51,0.31,92,0.43,NA,NA,16,1,FALSE
5,3,4.44,7.51,0.8,44,NA,NA,NA,39,2,FALSE
4,4,2.56,8.76,0.93,8,NA,NA,405,11,1,FALSE
3,3,0.06,3.76,0.43,56,0.81,NA,NA,34,2,FALSE
5,1,1.31,1.26,0.68,32,NA,NA,NA,NA,NA,FALSE
2,2,3.81,6.26,0.19,80,NA,88,NA,45,2,FALSE
5,2,3.34,8.45,0.34,53,NA,NA,NA,49,1,FALSE
2,1,0.84,3.45,0.84,5,NA,35,NA,NA,NA,FALSE
3,4,4.59,5.95,0.59,29,0.59,NA,NA,15,2,FALSE
4,3,2.09,0.95,0.09,77,NA,NA,475,38,1,FALSE
1,1,3.97,9.7,0.46,89,NA,NA,NA,NA,NA,FALSE
2,2,1.47,4.7,0.96,41,NA,97,NA,32,1,FALSE
3,3,2.72,7.2,0.71,17,0.22,NA,NA,44,1,FALSE
5,4,0.22,2.2,0.22,65,NA,NA,NA,21,2,FALSE
